Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-on Total,Add-ons Purchased,Extended Warranty,Accessory,Impulse
1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2/27/2024 0:00,Express,46.03,"Accessory,Impulse Item,Accessory",0,2,1
1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,1/21/2024 0:00,Express,0,,0,0,0
1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,9/3/2024 0:00,Overnight,17.79,"Accessory,Accessory",0,2,0
1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,11/30/2023 0:00,Overnight,0,,0,0,0
1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,1/12/2024 0:00,Standard,49.24,"Accessory,Accessory",0,2,0
1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,9/24/2023 0:00,Standard,0,,0,0,0
1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,3/25/2024 0:00,Standard,33.56,"Accessory,Accessory",0,2,0
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,10/12/2023 0:00,Standard,56.62,"Extended Warranty,Impulse Item",1,0,1
1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,1/28/2024 0:00,Express,0,,0,0,0
1038,56,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,7/8/2024 0:00,Overnight,10,Extended Warranty,1,0,0
1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,7/29/2024 0:00,Standard,0,,0,0,0
1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,8/17/2024 0:00,Express,47.94,"Accessory,Extended Warranty",1,1,0
1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,9/23/2024 0:00,Overnight,26.01,"Extended Warranty,Accessory",1,1,0
1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,8/31/2024 0:00,Standard,0,,0,0,0
1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,10/16/2023 0:00,Standard,92.79,"Accessory,Extended Warranty,Extended Warranty",2,1,0
1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,6/26/2024 0:00,Overnight,53.02,"Impulse Item,Impulse Item",0,0,2
1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,7/16/2024 0:00,Overnight,111.25,"Impulse Item,Accessory,Extended Warranty",1,1,1
1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,3/5/2024 0:00,Overnight,0,,0,0,0
1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,12/11/2023 0:00,Express,63.23,"Accessory,Impulse Item",0,1,1
1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,10/28/2023 0:00,Express,0,,0,0,0
1049,50,Female,No,Smartphone,SKU1001,5,Completed,Paypal,145.25,20.75,7,6/25/2024 0:00,Standard,86.36,"Accessory,Impulse Item,Accessory",0,2,1
1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,8/3/2024 0:00,Standard,45.46,Accessory,0,1,0
1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,12/20/2023 0:00,Standard,88.3,"Impulse Item,Impulse Item,Accessory",0,1,2
1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,5/8/2024 0:00,Standard,79.9,"Impulse Item,Extended Warranty,Impulse Item",1,0,2
1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,4/27/2024 0:00,Overnight,41.24,"Accessory,Extended Warranty",1,1,0
1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,7603.47,844.83,9,10/22/2023 0:00,Express,0,,0,0,0
1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,3/28/2024 0:00,Express,116.77,"Extended Warranty,Accessory,Impulse Item",1,1,1
1058,21,Female,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,6/12/2024 0:00,Overnight,92.57,"Impulse Item,Accessory,Accessory",0,2,1
1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,7/8/2024 0:00,Express,0,,0,0,0
1059,37,Male,No,Laptop,SKU1005,3,Completed,Paypal,3247.72,463.96,7,2/22/2024 0:00,Overnight,66.17,"Extended Warranty,Extended Warranty",2,0,0
1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,6/27/2024 0:00,Express,5.52,Extended Warranty,1,0,0
1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,9/28/2023 0:00,Standard,52.01,"Accessory,Impulse Item,Extended Warranty",1,1,1
1060,72,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,1482.18,247.03,6,12/7/2023 0:00,Overnight,31.89,Impulse Item,0,0,1
1060,72,Male,No,Smartphone,SKU1004,2,Completed,Paypal,1582.38,791.19,2,1/29/2024 0:00,Overnight,49.59,Impulse Item,0,0,1
1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,10/25/2023 0:00,Standard,14.49,Impulse Item,0,0,1
1061,56,Male,No,Laptop,SKU1005,3,Completed,Paypal,463.96,463.96,1,5/21/2024 0:00,Express,83.41,"Impulse Item,Accessory",0,1,1
1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,3/23/2024 0:00,Standard,26.24,"Impulse Item,Extended Warranty",1,0,1
1063,64,Male,Yes,Laptop,SKU1005,3,Completed,Paypal,1855.84,463.96,4,4/25/2024 0:00,Standard,0,,0,0,0
1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,7/8/2024 0:00,Express,6.47,Extended Warranty,1,0,0
1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,2373.57,791.19,3,2/28/2024 0:00,Standard,43.16,"Accessory,Extended Warranty,Impulse Item",1,1,1
1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,7/13/2024 0:00,Overnight,40.68,"Extended Warranty,Impulse Item",1,0,1
1067,49,Male,No,Tablet,SKU1002,3,Cancelled,Paypal,1729.21,247.03,7,10/17/2023 0:00,Standard,0,,0,0,0
1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,12/30/2023 0:00,Standard,81.55,"Impulse Item,Accessory,Impulse Item",0,1,2
1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,5/21/2024 0:00,Standard,96.61,"Accessory,Extended Warranty",1,1,0
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,62.25,20.75,3,11/29/2023 0:00,Standard,6.3,Extended Warranty,1,0,0
1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,6/17/2024 0:00,Overnight,0,,0,0,0
1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,7/11/2024 0:00,Standard,8.66,Accessory,0,1,0
1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,9/12/2024 0:00,Express,46.38,Extended Warranty,1,0,0
1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,11/6/2023 0:00,Standard,58.95,"Accessory,Impulse Item",0,1,1
1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,12/26/2023 0:00,Express,12.28,Extended Warranty,1,0,0
1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,5/14/2024 0:00,Overnight,12.86,"Impulse Item,Accessory",0,1,1
1079,64,Male,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,10/24/2023 0:00,Standard,25.61,Impulse Item,0,0,1
1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,9/12/2024 0:00,Overnight,8.16,Impulse Item,0,0,1
1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,9/15/2024 0:00,Overnight,101.06,"Extended Warranty,Accessory,Extended Warranty",2,1,0
1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,3164.76,791.19,4,1/3/2024 0:00,Standard,0,,0,0,0
1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,8/18/2024 0:00,Express,16.65,Impulse Item,0,0,1
1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,7/29/2024 0:00,Overnight,0,,0,0,0
1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,10/11/2023 0:00,Express,91.36,"Impulse Item,Impulse Item,Extended Warranty",1,0,2
1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,5/2/2024 0:00,Overnight,10.04,Extended Warranty,1,0,0
1086,76,Male,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,7/1/2024 0:00,Overnight,25.72,Accessory,0,1,0
1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,8/9/2024 0:00,Express,0,,0,0,0
1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,5/4/2024 0:00,Express,22.88,Extended Warranty,1,0,0
1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,3/22/2024 0:00,Express,14.52,"Impulse Item,Extended Warranty",1,0,1
1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,4/27/2024 0:00,Express,29.11,Impulse Item,0,0,1
1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,5/7/2024 0:00,Overnight,0,,0,0,0
1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,12/13/2023 0:00,Standard,27.89,Accessory,0,1,0
1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,5/15/2024 0:00,Overnight,85.32,"Extended Warranty,Extended Warranty",2,0,0
1097,19,Male,No,Tablet,SKU1002,3,Completed,Paypal,988.12,247.03,4,3/25/2024 0:00,Express,51.12,"Accessory,Accessory",0,2,0
1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,10/9/2023 0:00,Standard,100.12,"Impulse Item,Extended Warranty,Impulse Item",1,0,2
1099,68,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,5/31/2024 0:00,Overnight,0,,0,0,0
1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2/29/2024 0:00,Express,35.79,Extended Warranty,1,0,0
1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,5/19/2024 0:00,Overnight,48.78,"Impulse Item,Impulse Item,Extended Warranty",1,0,2
1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,10/9/2023 0:00,Standard,88.38,"Accessory,Accessory",0,2,0
1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,10/25/2023 0:00,Overnight,32.35,Impulse Item,0,0,1
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,5/23/2024 0:00,Overnight,125.35,"Impulse Item,Extended Warranty,Impulse Item",1,0,2
1101,33,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,7/23/2024 0:00,Express,77.61,"Impulse Item,Accessory",0,1,1
1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,8/6/2024 0:00,Express,0,,0,0,0
1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,9/20/2024 0:00,Overnight,102,"Impulse Item,Accessory,Extended Warranty",1,1,1
1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,3/25/2024 0:00,Overnight,104.93,"Accessory,Impulse Item,Accessory",0,2,1
1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,7/13/2024 0:00,Overnight,42.66,Accessory,0,1,0
1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,7/11/2024 0:00,Express,0,,0,0,0
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,2/15/2024 0:00,Overnight,63.79,"Accessory,Accessory",0,2,0
1112,58,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,6/19/2024 0:00,Express,48.57,"Extended Warranty,Extended Warranty",2,0,0
1114,25,Female,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,1/31/2024 0:00,Overnight,71.97,"Impulse Item,Extended Warranty,Extended Warranty",2,0,1
1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,12/30/2023 0:00,Overnight,53.95,"Impulse Item,Accessory",0,1,1
1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,Paypal,844.83,844.83,1,6/4/2024 0:00,Overnight,0,,0,0,0
1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,9/10/2024 0:00,Standard,0,,0,0,0
1116,55,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,4175.64,463.96,9,1/10/2024 0:00,Overnight,15.85,Extended Warranty,1,0,0
1116,55,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,5/20/2024 0:00,Express,0,,0,0,0
1117,34,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,3/6/2024 0:00,Overnight,48.25,"Impulse Item,Accessory",0,1,1
1119,24,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,1/12/2024 0:00,Standard,65.34,"Accessory,Impulse Item",0,1,1
1120,40,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,12/13/2023 0:00,Express,48.52,Extended Warranty,1,0,0
1120,40,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,103.75,20.75,5,2/25/2024 0:00,Express,0,,0,0,0
1122,69,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,9/15/2024 0:00,Express,0,,0,0,0
1123,79,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,6758.64,844.83,8,4/9/2024 0:00,Overnight,54.15,"Extended Warranty,Accessory",1,1,0
1123,79,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,791.19,791.19,1,8/12/2024 0:00,Standard,5.86,Accessory,0,1,0
1124,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2/12/2024 0:00,Overnight,0,,0,0,0
1124,24,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2/26/2024 0:00,Standard,85.04,"Extended Warranty,Accessory,Extended Warranty",2,1,0
1124,24,Female,No,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,9/5/2024 0:00,Overnight,104.82,"Impulse Item,Extended Warranty,Impulse Item",1,0,2
1125,46,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,1/8/2024 0:00,Express,0,,0,0,0
1125,46,Male,No,Laptop,SKU1005,3,Completed,Cash,3711.68,463.96,8,8/24/2024 0:00,Standard,67.21,"Impulse Item,Impulse Item,Accessory",0,1,2
1127,80,Male,No,Smartwatch,SKU1003,3,Completed,Paypal,6758.64,844.83,8,12/6/2023 0:00,Express,65.02,"Impulse Item,Impulse Item",0,0,2
1127,80,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,3/22/2024 0:00,Express,63.03,"Extended Warranty,Accessory,Accessory",1,2,0
1129,36,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,20.75,20.75,1,12/9/2023 0:00,Overnight,0,,0,0,0
1130,75,Female,Yes,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,11/4/2023 0:00,Express,46.92,"Impulse Item,Extended Warranty",1,0,1
1132,18,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,5/2/2024 0:00,Standard,48.93,"Extended Warranty,Extended Warranty",2,0,0
1133,25,Male,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,3/27/2024 0:00,Express,39.14,Accessory,0,1,0
1133,25,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,7/6/2024 0:00,Standard,81.34,"Extended Warranty,Extended Warranty,Impulse Item",2,0,1
1134,23,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,6329.52,791.19,8,12/1/2023 0:00,Express,68.66,"Extended Warranty,Impulse Item",1,0,1
1134,23,Male,No,Laptop,SKU1005,3,Completed,Debit Card,927.92,463.96,2,12/22/2023 0:00,Overnight,43.76,"Impulse Item,Extended Warranty",1,0,1
1134,23,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3711.68,463.96,8,6/10/2024 0:00,Express,102.64,"Extended Warranty,Extended Warranty,Extended Warranty",3,0,0
1134,23,Male,No,Smartphone,SKU1004,2,Completed,Paypal,7120.71,791.19,9,7/22/2024 0:00,Standard,0,,0,0,0
1136,20,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,12/14/2023 0:00,Overnight,41.06,Accessory,0,1,0
1139,56,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,6329.52,791.19,8,9/21/2024 0:00,Overnight,46.71,"Extended Warranty,Extended Warranty,Accessory",2,1,0
1141,61,Male,No,Smartphone,SKU1001,5,Completed,Paypal,20.75,20.75,1,12/2/2023 0:00,Express,11.92,Extended Warranty,1,0,0
1141,61,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,12/30/2023 0:00,Standard,42.12,Impulse Item,0,0,1
1141,61,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,4/14/2024 0:00,Standard,60.23,"Impulse Item,Extended Warranty",1,0,1
1142,63,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,10/26/2023 0:00,Standard,33.15,Accessory,0,1,0
1143,27,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,12/6/2023 0:00,Express,0,,0,0,0
1144,42,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,2/26/2024 0:00,Overnight,89.92,"Extended Warranty,Accessory",1,1,0
1145,75,Female,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,1/19/2024 0:00,Overnight,16.42,Extended Warranty,1,0,0
1145,75,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,5/23/2024 0:00,Express,23.28,Extended Warranty,1,0,0
1145,75,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,5068.98,844.83,6,9/13/2024 0:00,Express,12,Extended Warranty,1,0,0
1147,24,Male,Yes,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,7/19/2024 0:00,Overnight,85.51,"Impulse Item,Accessory,Accessory",0,2,1
1148,77,Female,Yes,Tablet,SKU1002,3,Completed,Cash,2470.3,247.03,10,3/5/2024 0:00,Standard,0,,0,0,0
1148,77,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,927.92,463.96,2,3/14/2024 0:00,Standard,0,,0,0,0
1148,77,Female,No,Smartphone,SKU1004,2,Completed,Paypal,3955.95,791.19,5,8/17/2024 0:00,Standard,102.68,"Impulse Item,Impulse Item,Extended Warranty",1,0,2
1149,60,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,10/30/2023 0:00,Overnight,46.83,"Extended Warranty,Accessory,Impulse Item",1,1,1
1149,60,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,103.75,20.75,5,7/6/2024 0:00,Express,35.49,Impulse Item,0,0,1
1149,60,Male,Yes,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,8/11/2024 0:00,Express,90.09,"Accessory,Extended Warranty,Accessory",1,2,0
1150,21,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,3/16/2024 0:00,Express,35.65,Accessory,0,1,0
1151,19,Female,No,Tablet,SKU1002,3,Completed,Paypal,1235.15,247.03,5,4/10/2024 0:00,Express,76.73,"Impulse Item,Impulse Item",0,0,2
1151,19,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,166,20.75,8,7/18/2024 0:00,Express,0,,0,0,0
1152,45,Female,No,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2/10/2024 0:00,Express,66.83,"Impulse Item,Impulse Item,Accessory",0,1,2
1154,70,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,9/9/2024 0:00,Overnight,0,,0,0,0
1155,29,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,3/17/2024 0:00,Express,72.69,"Impulse Item,Accessory,Extended Warranty",1,1,1
1155,29,Male,No,Smartphone,SKU1004,2,Completed,Cash,3955.95,791.19,5,5/22/2024 0:00,Express,14.41,Extended Warranty,1,0,0
1160,22,Female,Yes,Smartphone,SKU1001,5,Cancelled,Debit Card,83,20.75,4,9/4/2024 0:00,Express,57.28,"Impulse Item,Extended Warranty",1,0,1
1162,20,Male,No,Smartwatch,SKU1003,3,Cancelled,Paypal,3379.32,844.83,4,8/2/2024 0:00,Overnight,57.06,"Impulse Item,Impulse Item",0,0,2
1167,66,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,12/5/2023 0:00,Express,61.43,"Impulse Item,Accessory",0,1,1
1168,54,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,10/27/2023 0:00,Overnight,0,,0,0,0
